00:00:00	Big Ben had once again struck midnight. The time outside still corresponded to that registered by the stopped gilt clock, inside.	Nights At The Circus	Angela Carter
00:00:00	"Tis now struck twelve; get thee to bed, Francisco".	Hamlet	Shakespeare
00:00:00	It is midnight; someone has turned out the gas; the last servant has gone to bed.	Swanns Way	Marcel Proust
00:00:00	We have heard the chimes at midnight.	Henry IV Part 2	William Shakespeare
00:00:00	We had a midnight lunch too after all the jollification.	Ulysses	James Joyce
00:00:00	Hamlet. What hour now? Horatio. I think it lacks of twelve. Marcellus. No, it is struck.	Hamlet	William Shakespeare
00:00:00	Midnight was striking bronze blows upon the dusky air.	The Picture of Dorian Gray	Oscar Wilde
00:00:00	It was nearing midnight and the Prime Minister was sitting alone in his office.	Harry Potter and the Half-Blood Prince	JK Rowling
00:00:00	I was born (as I have been informed and believe) on a Friday, at twelve o'clock at night.	David Copperfield	Charles Dickens
00:00:00	It is midnight. The rain is beating on the windows. I am calm. All is sleeping.	Molloy	Samuel Beckett
00:00:00	"Midnight," you said. What is midnight to the young? 	Pale Fire	Vladimir Nabokov
00:07:00	It was seven minutes after midnight. The dog was lying on the grass in the middle of the lawn.	The Curious Incident of the Dog in the Night-Time	Mark Haddon
00:15:00	At twelve-fifteen he got out of the van. He tucked the pistol under the waistband of his trousers and crossed the silent, deserted street.	Watchers	Dean Koontz
00:25:00	The last train to Paris quitted at five-and-twenty minutes past midnight. And it was indeed this which had taken place.	Fruitfulness	Emile Zola
00:30:00	It was half-past twelve when I returned to the Albany as a last desperate resort.	The Amateur Cracksman	E.W. Hornung
00:40:00	We sat in the car park till twenty to one/And now I'm engaged to Miss Joan Hunter Dunn.	A Subalterns Love Song	John Betjeman
00:45:00	The clock marked the third quarter after midnight, and he knew it would make no difference if he went down to the post-box now.	The Reef	Edith Wharton
00:50:00	The packing was done at 12.50; and Harris sat on the big hamper, and said he hoped nothing would be found broken.	Three Men in a Boat	Jerome K Jerome
00:56:00	It was 12:56 A.M. when Gerald drove up onto the grass and pulled the limousine right next to the cemetery.	Extremely Loud and Incredibly Close	Jonathan Safran Foer
01:00:00	"What time is it now?" she said. "About one o'clock". "In the morning?" Herera's friend leered at her. "No, there's a total eclipse of the sun."	Freedom. ch 2, p 115 hardback edn (UK)	Jonathan Frantzen
01:00:00	it was only one o clock. He swallowed three Xanax. So ended his first night of freedom.	Atomised	Michel Houellebecq
01:01:00	The little luminous hands on my alarm clock (which I haven't set) show just gone one in the morning	Tomorrow	Graham Swift
01:00:00	What in the name of God was he doing on King's Cross station at one o'clock in the morning?	The Long Dark Tea-time of the Soul	Douglas Adams
00:59:00	I looked attentively at her, as she put that singular question to me. It was then nearly one o'clock.	The Woman in White	Wilkie Collins
01:06:00	When he woke it was 1:06 by the digital clock on the bedside table.	No Country for Old Men	Cormac McCarthy
01:12:00	It was 1:12 am when Father arrived at the police station.	The Curious Incident of the Dog in the Night-time	Mark Haddon
01:15:00	They began about a quarter past one o'clock in the morning, a rhythmic, quick-cadenced walking around the dining-room table.	My Life and Hard Times: The Night the Ghost Got In	James Thurber
